"term","premium","silver","bronze","hmo","hsa","Anthem","Blue_Shield","Kaiser","Health_Net","hh_size_prem","perc_0to17_prem","perc_18to34_prem","perc_35to54_prem","perc_male_prem","perc_black_prem","perc_hispanic_prem","perc_asian_prem","perc_other_prem","FPL_250to400_prem","FPL_400plus_prem","perc_0to17_silver","perc_0to17_bronze","perc_18to34_silver","perc_18to34_bronze","perc_35to54_silver","perc_35to54_bronze","perc_male_silver","perc_male_bronze","assisted_silver","assisted_bronze","broker_silver","broker_bronze","assisted_premium","broker_premium","nav_dominated","broker_dominated","commission_broker","lambda"
"FPL_250to400_prem",-6.10434909583177e-06,1.01140918335008e-06,-1.38650623077776e-05,-4.303590959222e-06,-3.62181780086442e-06,-1.54286803810239e-06,-1.14574829126649e-06,1.81368198732392e-06,-1.33904591044012e-06,-7.06793799792246e-07,-2.05734505393872e-06,4.81664901639037e-08,-4.31243988718494e-08,-1.28899852101328e-07,-4.92372200621805e-08,-9.01088608356702e-07,-9.19633176493709e-07,-1.17825155705534e-06,7.07703304200931e-06,6.59781296903328e-06,-3.51224476443061e-06,1.04270185136351e-05,2.046491465751e-06,4.80842070878979e-06,9.02921074893521e-07,1.29781468877238e-06,-6.54126775639727e-07,5.84912014380546e-07,4.05332275256386e-06,9.23778406799365e-06,4.58189284837979e-06,9.23608985369658e-06,3.05879170263507e-06,2.49749592300796e-06,-2.25410202692437e-06,-2.65104377318967e-06,-5.69719158258511e-08,3.28612863998574e-06
"FPL_400plus_prem",-1.32252400259916e-05,7.30677151050802e-06,-3.26198846435964e-05,-1.08343131594928e-05,-9.10208536502122e-06,-4.44802831710804e-06,-3.46300977311035e-06,3.85970961008124e-06,-3.96475072386101e-06,-1.57781427405956e-06,-3.11829405116053e-07,-1.99497423410852e-07,-7.08115079515548e-07,-5.57419952585884e-07,-1.30291514507051e-07,-2.4106667517441e-06,-2.11517376099506e-06,-2.79381132722042e-06,6.59781296903329e-06,2.07300454324881e-05,-1.15587228084579e-05,1.84091378641075e-05,2.47761737235163e-06,1.09669299346164e-05,3.9285247205116e-07,2.17336733151696e-06,-1.41100561466379e-06,1.31953375578564e-06,9.83536920149823e-06,2.56464255560815e-05,1.10522998082229e-05,2.57489191018479e-05,8.47716636231207e-06,7.72675422975838e-06,-4.93710341514629e-06,-6.3053293566668e-06,-1.62350154366822e-07,8.22702222750801e-06
"perc_0to17_silver",1.39920765625714e-05,-2.84856975162638e-05,2.53701066628328e-05,1.37031672189572e-05,1.10821872043229e-05,7.97776502058148e-06,7.22851092577877e-06,-2.7934084596196e-06,6.9885774906569e-06,-7.43973370782345e-07,-1.11349508293286e-05,1.6567327178384e-06,2.6913205331397e-06,3.6609305523178e-07,1.00426143564912e-06,4.70193964292541e-06,3.44318491386896e-06,4.29953267657534e-06,-3.51224476443062e-06,-1.15587228084579e-05,0.000370340484879168,0.000199342601377346,1.0272767662468e-05,-1.76489703729405e-06,7.00668551073805e-06,6.68287847980857e-06,1.3825000224236e-06,-2.63248244188974e-06,-5.94560733938607e-06,-2.94042191838329e-05,-1.08129723111911e-05,-3.30758818955801e-05,-8.77592518476133e-06,-7.61770078724103e-06,1.10203676213943e-06,-1.41286972947623e-06,2.83916560960373e-07,-9.92707780823301e-06
"perc_0to17_bronze",-1.64818196045344e-05,1.30714404791306e-06,-6.28360091056698e-05,-1.60576208002225e-05,-1.1276220180591e-05,-5.29044816253595e-06,-5.08413009129712e-06,6.25631631358769e-06,-7.23359192877026e-06,-4.38056240724476e-06,5.62777187675967e-05,2.2273583940563e-06,1.15347875327539e-06,-5.77208974341816e-07,-2.86594894784044e-06,-6.77124545389488e-06,-6.07352483078924e-06,-5.88099580094126e-06,1.04270185136351e-05,1.84091378641076e-05,0.000199342601377346,0.000426542717732482,1.14961506720629e-05,3.21359911971173e-05,7.43416045341555e-06,1.78412403344936e-05,-3.02636310783714e-06,-2.39553212233708e-07,9.07982324742885e-06,2.63100520248018e-05,8.73575737067484e-06,2.5706418196187e-05,1.29067838118205e-05,1.22237004128355e-05,-1.82651385388222e-05,-2.34133648833249e-05,-1.9447236350608e-07,1.20540147276032e-05
"perc_18to34_silver",-1.78616563062054e-06,-1.27681452222491e-05,-1.54625793759868e-05,-2.65260526291907e-06,-2.24325302809258e-06,-1.18706066103364e-06,-1.03373208020939e-06,5.38617532018903e-07,-1.11224124306446e-06,-5.92458525592805e-07,1.55546166491823e-07,-4.37818392292323e-06,-1.28215765698398e-06,3.03363985207331e-07,-1.248652532838e-07,-4.36450310411789e-07,-4.47858998647869e-07,-5.29890701355011e-07,2.04649146575099e-06,2.47761737235163e-06,1.0272767662468e-05,1.1496150672063e-05,2.96670174803584e-05,1.74270942689297e-05,1.45096708218975e-05,8.11325315054018e-06,-2.40955565797038e-06,-6.60659567621227e-07,8.31545852409909e-06,1.0979000469674e-05,8.90255769246679e-06,1.15651684532171e-05,1.31338182733056e-06,1.29979017495094e-06,-6.11674575592134e-08,4.67716426042998e-07,-1.14073477421861e-07,2.04603230058275e-06
"perc_18to34_bronze",-1.1268763764351e-05,-1.62684944136937e-06,-4.42682568309469e-05,-8.77508378895115e-06,-7.61451244937383e-06,-3.60838438509147e-06,-2.92201584575419e-06,3.21596232957842e-06,-3.50614090342523e-06,-1.49056701516343e-06,4.64870237275198e-06,5.50151219804532e-06,1.96541137154303e-06,-7.59342960585686e-07,-1.70132314049298e-06,-4.35576563471695e-06,-4.06624272246889e-06,-3.76152059055726e-06,4.80842070878976e-06,1.09669299346164e-05,-1.76489703729408e-06,3.21359911971172e-05,1.74270942689296e-05,4.4402788669254e-05,8.59029352916724e-06,2.02891878958265e-05,-2.16093108260545e-06,-1.32335517390787e-06,1.0045014360658e-05,2.40158930763481e-05,1.10755310762378e-05,2.42841073285916e-05,7.60206824927321e-06,7.36346383902083e-06,-5.21439306572676e-06,-6.00774190760685e-06,-1.48904808558221e-07,6.80353306983597e-06
"perc_35to54_silver",-4.02456942682384e-07,-1.31483106940793e-05,-1.04321048283534e-05,-9.18593190455037e-07,-7.85971411272516e-07,-3.98616801009228e-07,-3.35170560328985e-07,1.89316044940226e-07,-2.57665731794492e-07,4.74273305222912e-08,-8.92780749570322e-07,-1.09693902089604e-06,-2.60932628215567e-06,1.70921208560412e-07,1.51887642384747e-07,1.97286218493871e-07,5.07883972074426e-08,1.46726819316316e-07,9.02921074893506e-07,3.92852472051119e-07,7.00668551073812e-06,7.43416045341559e-06,1.45096708218975e-05,8.59029352916721e-06,2.53969971852125e-05,1.25479639622972e-05,-1.9548330987621e-06,-7.91217356549854e-07,3.54384990122449e-06,4.64894470424305e-06,3.60328555305022e-06,4.84015962985872e-06,-1.00503160232601e-07,1.99101091785392e-08,7.78884831027786e-07,7.28882925282009e-07,-6.40738606152172e-08,7.53089303760821e-07
"perc_35to54_bronze",-3.9181979686569e-06,-7.43422601596292e-06,-2.20211222742459e-05,-5.40823214195679e-07,-9.79985155667994e-07,1.25628485458196e-07,5.70405997165376e-08,4.79790565262938e-07,-1.11808347877282e-08,-1.20048880748176e-07,7.35609315537367e-07,3.05671708445138e-06,5.97965676424864e-06,-6.17522409609379e-07,-5.15503128073587e-07,-1.09729827887668e-06,-1.47321185975707e-06,-9.55853025623621e-07,1.29781468877235e-06,2.17336733151691e-06,6.68287847980874e-06,1.78412403344938e-05,8.11325315054013e-06,2.02891878958264e-05,1.25479639622972e-05,3.39971533908364e-05,-1.03280842995959e-06,-1.90735419048038e-06,1.74478011038616e-06,3.23103549503924e-06,1.87718131780563e-06,3.3392607393329e-06,1.17410381853714e-06,1.41462099180082e-06,-1.1122811874446e-06,-1.10780295702944e-06,-2.1076288498109e-08,6.3376727741075e-07
"perc_male_silver",2.3048178404265e-06,-9.3459950644652e-06,1.28473791345219e-09,1.50432572210112e-06,1.24220018181203e-06,8.07846062396341e-07,6.68647576174574e-07,-3.46234951324008e-07,8.12005267915175e-07,1.73769343645125e-07,-1.79901959952331e-07,4.69681283697013e-07,3.26501883497191e-07,-2.39705482246036e-06,1.56864065832971e-07,5.03243170634978e-07,4.57085594770549e-07,5.26260291604954e-07,-6.54126775639731e-07,-1.41100561466378e-06,1.38250002242357e-06,-3.0263631078371e-06,-2.40955565797046e-06,-2.1609310826055e-06,-1.95483309876212e-06,-1.03280842995956e-06,2.00336343063472e-05,9.24094618289956e-06,-4.35714753031279e-08,-2.49901251051065e-06,-1.03490530721035e-06,-3.00762891266866e-06,-1.22184996199935e-06,-9.9312978965047e-07,9.29237179519212e-07,1.10805069559137e-06,2.09752080976007e-08,-1.12801082707587e-06
"perc_male_bronze",-2.88136198697744e-06,-2.51152770746984e-06,-1.54106566689297e-05,-1.52578138028005e-06,-1.33742354956225e-06,-8.28771006334693e-07,-6.83808430930772e-07,3.67162645896054e-07,-8.02336336748164e-07,-2.6729337747279e-07,3.1138675404169e-07,-6.32246637455038e-07,-6.2789761222096e-07,4.07406737595511e-06,-2.64901648566918e-07,-7.17403914178325e-07,-4.07188095879349e-07,-5.20296145920367e-07,5.84912014380527e-07,1.31953375578562e-06,-2.63248244188963e-06,-2.39553212233632e-07,-6.60659567621316e-07,-1.32335517390797e-06,-7.91217356549866e-07,-1.90735419048033e-06,9.24094618289967e-06,2.6348519140337e-05,1.32803591578412e-06,4.40713369934769e-06,1.03964253034482e-06,3.5762619370911e-06,1.30753668167519e-06,1.09291773068744e-06,-1.14247508535384e-06,-1.25819193750535e-06,-2.57381271933583e-08,1.14374563476596e-06
"assisted_silver",-3.41306409378539e-06,-3.31397913145891e-06,-2.41362074230182e-05,-1.04476182449877e-05,-6.65241870048526e-06,-6.85949415972251e-06,-6.6398600640845e-06,-7.48912020559268e-07,-6.57937961178519e-06,-1.97387101125601e-06,1.96280527151006e-06,-3.30144494760468e-06,-3.0082932153421e-06,-3.82630397699742e-07,-1.52415533563942e-06,-3.9735056498248e-06,-2.65167707696593e-06,-3.7169990625526e-06,4.05332275256391e-06,9.83536920149837e-06,-5.94560733938579e-06,9.07982324742949e-06,8.3154585240991e-06,1.00450143606581e-05,3.5438499012245e-06,1.7447801103862e-06,-4.35714753031123e-08,1.32803591578424e-06,0.000108760167632625,9.97190178266274e-05,1.49835993696528e-05,2.06861737082841e-05,-9.48912044625236e-06,4.33034865795252e-06,9.68864463596469e-05,-2.53592840218768e-06,-2.82716261056555e-07,5.79918474883999e-06
"assisted_bronze",-2.13065702455829e-05,1.69105283007499e-05,-7.71325042805304e-05,-2.70622989542836e-05,-2.16235776960599e-05,-1.45770565588429e-05,-1.28507549199112e-05,4.79208980392842e-06,-1.37322377705221e-05,-3.6923692546293e-06,6.74012843729422e-06,-4.91800178647385e-06,-5.03158517806284e-06,-2.23652440096663e-07,-3.9807458939231e-06,-9.41341622435496e-06,-7.44985380589395e-06,-9.2666730999983e-06,9.23778406799367e-06,2.56464255560816e-05,-2.9404219183832e-05,2.63100520248029e-05,1.09790004696739e-05,2.4015893076348e-05,4.64894470424304e-06,3.23103549503925e-06,-2.49901251051069e-06,4.40713369934773e-06,9.97190178266272e-05,0.000155358162005084,2.27060526890795e-05,6.66592386015663e-05,1.23303833517357e-05,1.75734166301642e-05,7.15594450396107e-05,-1.54904594708564e-05,-5.01470566283911e-07,1.85459266189286e-05
"broker_silver",-4.25374858062601e-06,-2.00186856501377e-06,-2.59580599963631e-05,-1.04377516650729e-05,-7.72518108943468e-06,-7.60189998473816e-06,-8.91770334719849e-06,-3.78291636325912e-06,-7.56919560984626e-06,-2.32203858523339e-06,4.81816636440112e-06,-2.73648634312315e-06,-2.43474330471783e-06,-1.92371544255876e-07,-1.73613736032566e-06,-4.35314909102529e-06,-3.18633056664291e-06,-4.07711076531939e-06,4.58189284837979e-06,1.10522998082229e-05,-1.08129723111908e-05,8.73575737067533e-06,8.90255769246684e-06,1.10755310762379e-05,3.60328555305031e-06,1.87718131780582e-06,-1.03490530721029e-06,1.039642530345e-06,1.49835993696527e-05,2.27060526890796e-05,6.3711970694626e-05,6.50214851912915e-05,5.35839464877907e-06,1.40474185310903e-06,-2.77563815242504e-06,4.48572734498887e-05,-1.27718419490466e-06,6.75835782033846e-06
"broker_bronze",-2.09659336654299e-05,1.73021873598072e-05,-7.63977766452808e-05,-2.6192218852426e-05,-2.1889144285186e-05,-1.4958403396846e-05,-1.4798580201394e-05,1.36963580821632e-06,-1.45661968180621e-05,-3.97918534708146e-06,9.69157313832692e-06,-4.09608285691994e-06,-4.34914661639721e-06,-2.42345734938427e-07,-4.08964829741028e-06,-1.0218846316155e-05,-7.59604122651528e-06,-9.46472072857543e-06,9.23608985369657e-06,2.5748919101848e-05,-3.30758818955806e-05,2.57064181961871e-05,1.15651684532171e-05,2.42841073285917e-05,4.84015962985883e-06,3.33926073933321e-06,-3.00762891266868e-06,3.57626193709137e-06,2.06861737082839e-05,6.66592386015667e-05,6.50214851912914e-05,0.000113227290910624,1.90052460575328e-05,1.67556491683365e-05,-1.25687746467264e-05,2.75668770316605e-05,-1.40046116116164e-06,1.88151337603031e-05
"assisted_premium",-1.06875721449403e-05,6.2698128240576e-06,-2.43226348547149e-05,-6.70843361549822e-06,-6.49207235623345e-06,-2.50762998220312e-06,-1.69468687400854e-06,3.27892281743774e-06,-2.38221998354085e-06,-1.10654426106086e-06,3.13645418468459e-06,8.33553673371725e-07,1.64853739794341e-07,2.54632232110355e-07,-2.14402274025517e-06,-3.25235946875304e-06,-2.61680539536312e-06,-2.64285759116131e-06,3.05879170263507e-06,8.47716636231207e-06,-8.77592518476154e-06,1.29067838118204e-05,1.31338182733057e-06,7.60206824927323e-06,-1.00503160232567e-07,1.17410381853719e-06,-1.22184996199936e-06,1.30753668167521e-06,-9.48912044625248e-06,1.23303833517356e-05,5.35839464877903e-06,1.90052460575328e-05,1.79184063278781e-05,8.17020619718987e-06,-2.57710039624476e-05,-7.25964008146119e-06,-6.82826730541779e-08,5.83570763063524e-06
"broker_premium",-9.41221435557932e-06,5.70152258991043e-06,-2.23803735102221e-05,-5.9614214928698e-06,-5.98007382131845e-06,-2.50482998061442e-06,-1.79667553958383e-06,2.37458535675679e-06,-2.47465581853261e-06,-1.14282646065541e-06,3.679917893159e-06,1.05959973583639e-06,2.98660958001968e-07,1.1272699670658e-08,-1.10069179066049e-06,-2.77806866611679e-06,-3.51223125007471e-06,-3.34038923970707e-06,2.49749592300795e-06,7.72675422975835e-06,-7.6177007872409e-06,1.22237004128354e-05,1.29979017495095e-06,7.36346383902081e-06,1.99101091785828e-08,1.41462099180087e-06,-9.93129789650422e-07,1.09291773068751e-06,4.33034865795241e-06,1.75734166301641e-05,1.40474185310894e-06,1.67556491683364e-05,8.17020619718985e-06,1.13343317417727e-05,-5.4488370294192e-06,-1.18293601888541e-05,-1.28875429105786e-07,5.29938655373839e-06
"nav_dominated",1.00134403449988e-05,-5.11044927176222e-06,1.83891234966188e-05,3.21261686917368e-06,5.50831074311741e-06,-1.71123137717999e-07,-1.32558755911072e-06,-4.8670750224282e-06,-4.72030201043762e-08,-5.43596826307038e-08,6.69810859110902e-07,-1.92276130624703e-06,-1.54599545652851e-06,-2.46231538248653e-07,2.77430242101263e-07,1.05389851017735e-06,1.54288319215422e-06,1.45875696639551e-06,-2.25410202692433e-06,-4.93710341514619e-06,1.10203676213975e-06,-1.82651385388216e-05,-6.11674575591992e-08,-5.21439306572666e-06,7.78884831027764e-07,-1.11228118744463e-06,9.29237179519232e-07,-1.1424750853538e-06,9.6886446359647e-05,7.15594450396108e-05,-2.77563815242484e-06,-1.25687746467261e-05,-2.57710039624475e-05,-5.44883702941917e-06,0.000301735766517439,1.06210995809027e-05,-4.89269063463269e-08,-5.3105233659262e-06
"broker_dominated",1.12203332867229e-05,-6.32667647404332e-06,2.29153884167701e-05,5.6563190540948e-06,6.50680261005608e-06,3.90459610894382e-07,-2.74874699889219e-06,-8.34344292845182e-06,2.47361670066174e-07,8.97351512817821e-08,2.33495787466489e-06,-1.30081149413945e-06,-6.19744033233275e-07,-8.18828066310954e-08,3.88689994583126e-07,2.01421977372967e-06,8.38088606816443e-07,1.73472975841874e-06,-2.65104377318964e-06,-6.3053293566667e-06,-1.41286972947639e-06,-2.34133648833246e-05,4.67716426043157e-07,-6.00774190760654e-06,7.28882925282122e-07,-1.10780295702922e-06,1.10805069559142e-06,-1.25819193750521e-06,-2.53592840218744e-06,-1.5490459470856e-05,4.4857273449889e-05,2.7566877031661e-05,-7.25964008146112e-06,-1.18293601888541e-05,1.06210995809026e-05,0.000162523057913984,-9.61725693877664e-07,-6.18192288773474e-06
"commission_broker",8.84420818624384e-08,-1.21071272491609e-07,3.66943671076692e-07,1.04125095227825e-07,1.4810356730917e-07,1.93930012422517e-07,3.1733701206194e-07,3.35613164491358e-07,1.64920050138121e-07,2.17159208936532e-08,-1.4387489070669e-07,2.85577762035695e-08,1.88932909656191e-08,-3.54103327489817e-10,2.52269181237053e-08,7.06026924370597e-08,5.14233264912784e-08,6.04428303327061e-08,-5.69719158258506e-08,-1.62350154366819e-07,2.83916560960373e-07,-1.94472363506067e-07,-1.14073477421868e-07,-1.48904808558224e-07,-6.40738606152235e-08,-2.10762884981157e-08,2.09752080975957e-08,-2.57381271933643e-08,-2.82716261056558e-07,-5.01470566283909e-07,-1.27718419490466e-06,-1.40046116116163e-06,-6.82826730541761e-08,-1.28875429105786e-07,-4.89269063463278e-08,-9.61725693877658e-07,8.56137858656793e-08,-1.36170254979896e-07
"lambda",-7.38041842571238e-06,6.42170162704301e-06,-2.23317661886484e-05,-8.25911611202211e-06,-6.82011942177742e-06,-4.12140043610093e-06,-3.34169445321362e-06,2.19577946882303e-06,-3.97583423275131e-06,-1.03497577818334e-06,2.24376314185301e-06,-9.14025325001715e-07,-1.0788065314887e-06,-6.8403708483468e-08,-9.85744194338636e-07,-2.88347671357761e-06,-2.14943631890407e-06,-2.71575878437992e-06,3.28612863998573e-06,8.22702222750803e-06,-9.92707780823311e-06,1.20540147276031e-05,2.04603230058275e-06,6.80353306983597e-06,7.53089303760846e-07,6.33767277410787e-07,-1.1280108270759e-06,1.143745634766e-06,5.79918474883986e-06,1.85459266189286e-05,6.75835782033843e-06,1.8815133760303e-05,5.83570763063525e-06,5.29938655373843e-06,-5.31052336592628e-06,-6.18192288773485e-06,-1.36170254979897e-07,6.1965152128316e-06
